,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9,coef10,coef11,coef12,coef13,coef14,coef15,coef16,coef17,coef18,coef19,coef20,coef21,coef22,coef23,coef24,coef25,coef26,coef27,coef28,coef29,coef30,coef31,coef32,coef33,coef34,coef35,coef36,coef37,coef38,name
condition1,-0.020641666,0.00424037,-0.002426191,0.086671411,0.114329816,0.016858607,0.021591143,0.000943964,-0.007007076,0.100445599,-0.031913342,-0.049073239,-0.008522282,-0.027014095,0.039176629,0.017972877,0.059905195,0.015792703,0.284958566,0.051319372,-0.000222621,0.046320382,0.055168848,0.021034956,-0.012424657,-0.02583977,0.026446543,-0.045548648,-0.157437512,-0.051483012,0.071442669,0.057390807,0.005864124,0.044511575,0.039431,0.021427111,1.454172259,219.0539777,condition1_3_3_1_0
condition1,0.086895765,0.122237008,0.015759673,0.013135165,-0.004922416,-0.068285055,-0.002172857,-0.025235771,0.009775693,0.233257284,-0.113852277,0.061676841,0.033679286,0.037640423,0.03959312,-0.033082462,-0.017137915,0.01019415,0.166125715,0.156658086,-0.041309209,-0.07998216,-0.091024982,-0.034597999,0.041743431,0.054668545,0.000405447,0.113937268,-0.006244539,0.02722652,0.041109266,0.006883267,-0.057776218,-0.027877988,-0.022015912,0.01706283,1.784958342,205.9361883,condition1_3_3_1_1
condition1,0.038808643,0.186670096,0.022305889,0.054120529,-0.006151808,-0.00033953,0.003746576,-0.002983974,-0.002659619,-0.083846173,-0.069185159,0.024358183,0.030668683,0.037044165,-0.008191359,-0.041698078,0.050095968,-0.026413618,0.343748987,0.272049886,-0.024762574,-0.163029722,-0.156810083,0.026926104,0.081680561,-0.039270256,0.029528952,0.125436386,0.098481302,0.017829863,0.11956363,-0.036482616,-0.075871897,-0.008355546,0.017527914,0.014423769,1.391637763,216.4184948,condition1_3_3_1_2
condition1,-0.108045341,-0.05462166,0.020679758,0.007857004,0.024961391,-0.008435321,-0.001854122,0.009268117,0.019698958,0.199658289,0.03602191,0.08687977,0.03089765,-0.038291825,-0.026066029,-0.028394492,-0.016411873,0.013420389,0.173183326,0.109432254,-0.04856755,-0.057691915,-0.0095985,0.013225336,0.007726791,-0.006130558,-0.013843827,0.122148371,-0.091165265,0.003571827,-0.003311621,-0.006010996,0.031253815,0.003498383,-0.026410421,0.001010956,1.546261906,205.6757714,condition1_3_3_8_0
condition1,-0.030587038,0.051969734,0.043142986,0.046495128,-0.051391867,-0.049587304,0.027063392,-0.020341379,0.020457681,0.264457911,0.048134692,0.026579208,0.02797265,0.029944318,-0.046216987,-0.005485643,-0.004962488,-0.023025279,0.193756692,-0.005438001,-0.070080624,-0.031536686,-0.007331443,0.033866554,-0.000856592,-0.024206927,0.014725401,0.013944443,-0.054845356,0.058379389,0.121332826,-0.058961912,-0.025073866,-0.012232209,0.004670487,0.047647247,1.790979578,197.1151889,condition1_3_3_8_1
condition1,-0.074994865,0.099894455,0.028351539,0.012917528,-0.01753992,-0.010223336,-0.007952598,-0.012375573,0.001360368,0.141038514,0.056509896,0.034299373,-0.02305225,-0.014971716,0.042346481,-0.016808698,-0.016495272,0.006598948,0.026357326,-0.057457903,-0.118412511,-0.010398951,0.034703107,-0.030717031,-0.001312102,0.051876303,0.008344437,-0.095600041,-0.045199587,0.058578688,0.024569438,0.007132789,-0.017598204,-0.040583173,-0.003044198,0.021003417,1.338231549,241.9372467,condition1_3_3_8_2
condition1,0.090481286,0.103703086,-0.08200492,0.079093184,-0.042108673,-0.058927092,-0.022213206,0.010581337,-0.008513898,0.096767037,0.067853703,-0.006467271,0.001465621,0.056790405,-0.051061904,-0.010928724,-0.00315237,-0.041329318,0.372679059,0.009283139,-0.055068855,-0.026846668,0.027774837,0.074617817,-0.050898063,-0.036410833,0.039838154,0.127962417,-0.134261071,-0.081540408,0.102323534,-0.031576593,0.043604476,0.019983214,-0.035243896,-0.00166045,1.714019538,181.7791154,condition1_3_3_9_2
condition1,0.006178231,0.010703366,0.051941775,0.010923987,-0.007067403,0.01452187,0.008235339,-0.018300801,0.014605103,0.256064763,0.073498206,0.024588212,-0.035490415,-0.013335022,-0.0071389,-0.034860687,0.012187888,-0.002735182,0.042922354,-0.079770167,-0.096719555,0.017649313,0.009718099,-0.035319579,0.018673208,0.015446851,0.022684273,-0.011723682,-0.114413466,-0.015955859,0.022454807,-0.01661632,0.002611013,0.016215444,0.009112008,0.009140076,1.420350235,243.3275777,condition1_3_3_9_0
condition1,-0.007489774,0.194283016,0.030998851,-0.037947861,-0.031845024,0.017563812,0.026428648,-0.006805393,-0.012677685,-0.177475852,-0.048067773,0.052145313,0.000219489,-0.025262341,0.023870402,0.047273592,0.017809362,-0.021043275,0.620128719,0.066215596,-0.139314907,-0.112910144,0.018097066,0.023333017,0.003832524,-0.010441804,0.005350747,-0.174253386,0.035331413,0.186045022,0.064882476,-0.112805231,-0.089942852,0.036174692,0.052759041,0.01444262,1.382262149,207.2457542,condition1_3_3_9_1
condition1,-0.127926028,0.079574526,0.047868161,0.01338374,0.023607895,-0.059674849,-0.008786798,-0.001931566,-0.003080861,0.034348367,0.096925816,0.062631114,-0.049912614,-0.043317234,0.041470282,-0.039162483,-0.009076931,-0.011983929,0.373302001,-0.038767364,-0.108314014,0.067472601,0.037179503,-0.048029971,0.014731653,0.02250644,-0.002271775,-0.000187697,-0.105681285,-0.035802318,0.04226249,0.094689837,-0.056543829,-0.038958229,0.027855748,0.013354174,1.919745944,169.2883893,condition1_3_3_7_2
