,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9,coef10,coef11,coef12,coef13,coef14,coef15,coef16,coef17,coef18,coef19,coef20,coef21,coef22,coef23,coef24,coef25,coef26,coef27,coef28,coef29,coef30,coef31,coef32,coef33,coef34,coef35,coef36,coef37,coef38,name
condition2,0.063987052,0.073030352,-0.01566384,0.020134342,0.067445511,0.028819681,-0.046027016,-0.025507597,0.008614907,-0.322218175,0.16106422,0.003078403,-0.019003082,-0.050306276,0.015960714,0.018758889,-0.00735397,-0.004148144,0.542719065,-0.1724278,0.152387268,0.046894049,-0.096371107,0.0170282,-0.00789839,-0.026751107,-0.016685138,0.353578301,-0.054262395,-0.171432082,0.154446668,0.098406475,0.02086468,-0.038550476,-0.044650186,-0.043565607,1.316667491,131.7671905,condition2_3_1_7_0
condition2,-0.026789083,0.085352208,0.073828602,0.092618433,-0.044924622,-0.051613283,0.01352772,-0.010532419,0.010627734,-0.089854239,-0.132839646,-0.052843203,0.019818244,0.03755847,-0.037647148,-0.015290635,-0.018223848,-0.022828197,0.359226926,0.096129283,0.022241718,0.016094299,-0.008460666,-0.055112044,-0.044010903,0.013934056,0.016169793,-0.176714932,-0.083864932,0.082877222,0.199740602,0.034434542,0.030942744,-0.023176871,-0.031279479,-0.013845423,1.285954914,176.4547635,condition2_3_1_7_1
condition2,0.045004265,0.132549912,-0.049098919,-0.00643356,0.028543298,-0.020333362,0.004207338,-0.008700883,0.0008317,0.05878456,-0.00735479,0.127115723,0.024645299,-0.047330797,-0.023138668,-0.00453556,0.00194012,0.013541991,0.089079737,-0.023074014,-0.128898987,0.025715755,0.014223647,-0.034312941,-0.006530842,0.031769605,-1.84E-05,0.03032668,0.034988694,-0.099631733,-0.033343312,0.031807063,0.023567669,-0.026336686,-0.0104156,0.018638311,1.3951941,173.9809228,condition2_3_1_8_1
condition2,0.080676947,-0.058202429,0.025324061,0.024417804,0.006764613,-0.011919138,0.004701657,-0.0093518,0.017931387,0.148795042,-0.072340506,-0.002278376,-0.00284272,-0.008986921,3.71E-05,-0.004740372,-0.01538774,-0.012051845,0.056334171,-0.018212948,-0.044814111,-0.018213999,0.034525082,-0.005099422,-0.011118104,-0.00417984,0.014453178,-0.003697636,-0.121268217,0.008084586,0.046813907,-0.006249436,-0.001031631,-0.003811827,0.009103758,0.003633154,1.348683564,147.1974344,condition2_3_1_8_0
condition2,-0.041989363,-0.003811521,-0.006403222,-0.00113205,-0.050866319,-0.032151006,-0.023505291,0.000193417,-0.016719186,0.124591085,-0.026916443,0.054372795,0.034807879,-0.01011524,-0.022307336,-0.018758238,-0.002731898,0.001821153,0.101053757,0.110800316,-0.071081247,-0.019060275,-0.005452795,0.036953976,0.011471028,-0.004800778,-0.004989358,0.111189882,-0.057741464,-0.021879108,-0.000663389,-0.007378472,-0.00471483,-0.009677615,0.016473293,0.017997873,1.365277384,163.6329728,condition2_3_1_8_2
condition2,0.167928282,0.007954583,-0.044356505,0.042064426,-0.043265436,-0.012514721,-0.004250363,0.035472735,-0.000971491,0.143638569,-0.030855332,0.047288307,-0.02141728,-0.009213775,0.003312376,0.013892327,0.034928455,0.001219043,0.011698573,-0.033260312,-0.056676496,0.030629815,-0.004260454,0.023889004,-0.043767527,0.013343741,0.004259226,0.094305898,-0.071630823,0.021852235,0.004307483,-0.008596724,-0.034083203,0.00615523,-0.006919514,-0.024787457,1.587729464,133.2049379,condition2_3_1_6_0
condition2,0.033377662,-0.073979544,0.041366899,-0.024682731,0.071040998,-0.064659135,0.042739301,-0.007259029,0.0174869,0.279803089,-0.013555289,0.018949927,0.052620371,-0.009053514,-0.008536912,0.005854619,-0.033846098,-0.018270932,-0.029819422,0.022331998,-0.028814142,-0.025085006,0.050418645,-0.008674519,-0.007270844,-0.024527519,0.027124165,0.066783233,-0.218221599,0.014879768,0.015141865,0.037570447,-0.020940699,-0.007225053,0.019631656,0.033868904,1.472511756,152.7139115,condition2_3_1_6_1
condition2,0.10036053,-0.220825378,0.132297154,-0.028372001,0.139893055,0.036325098,-0.050123778,-0.016454627,0.009588441,-0.206149545,-0.169321506,-0.228495373,-0.070287359,-0.099700932,0.049815809,-0.002981938,0.003094475,-0.017669396,0.257896255,0.203168041,-0.131492548,0.192267633,0.119755955,0.117064225,-0.015531709,0.081991007,0.002880602,-0.011664023,-0.452027107,-0.049773531,-0.146910298,0.124347843,-0.087159063,-0.017864119,-0.020890843,0.06797697,1.256164036,149.8336737,condition2_3_1_6_2
condition2,-0.110054515,-0.002593375,-0.018216952,0.003832941,-0.061128518,-0.018298151,-0.022812487,0.011652766,-0.022148784,0.137158928,0.031167787,-0.008067711,0.044337027,-0.034665037,0.006216344,-0.015053348,0.002727293,0.02028674,0.137474023,-7.50E-05,-0.108069451,-0.048396503,0.040984892,-0.002634245,0.02207153,0.018428163,0.002284414,-0.084235812,-0.059494967,-0.006872327,0.01385406,-0.062968957,-0.032031557,-0.024282184,0.057083401,-0.004449275,1.314018,177.8084623,condition2_3_1_4_2
condition2,-0.11609862,-0.029395179,0.035879758,0.015890092,-0.016773887,-0.01625991,-0.022390459,0.00464544,-0.004021415,0.169803248,0.003475976,0.014945677,0.033392952,-0.047083926,-0.014034852,-0.006639221,-0.015068842,-0.015509424,0.133643242,0.065336287,-0.052926005,-0.047490044,0.019349832,-0.007708313,0.019750362,0.015202118,0.013328112,0.005488156,-0.120056368,-0.016142134,0.033531356,0.001171489,-0.017079734,-0.033748427,0.023022565,0.023330626,1.35295614,166.1899826,condition2_3_1_4_0
